<br><font size=-4><font color=white>*Nara, Dsgsfdg has gone AUTOAFK*
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their chakra by Full - 18 / 18.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of B - 4 / 18
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their chakra by Full - 18 / 18.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their chakra by Full - 44 / 44.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of B - 30 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their chakra by Full - 44 / 44.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of B - 30 / 18
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of B - 16 / 18
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of B - 2 / 18
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their chakra by Full - 18 / 18.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their stamina by a cost of D - 0 / 3
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their stamina by Full - 3 / 3.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their chakra by Full - 44 / 44.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their stamina by Full - 44 / 44.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of A - 10 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their chakra by Full - 44 / 44.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of B - 30 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of B - 16 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of B - 2 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their chakra by Full - 44 / 44.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of C - 38 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of C - 32 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of C - 26 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of C - 20 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of C - 14 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of C - 8 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their chakra by a cost of C - 2 / 44
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their chakra by Full - 44 / 44.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their stamina by a cost of A - 10 / 3
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their stamina by a cost of C - 4 / 3
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their stamina by a cost of D - 1 / 3
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their stamina by Full - 3 / 3.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their stamina by Full - 18 / 18.
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their stamina by a cost of C - 12 / 18
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their stamina by a cost of D - 9 / 18
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their stamina by a cost of D - 6 / 18
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) just reduced their stamina by a cost of D - 3 / 18
<br><font color=red>*Akimichi, Okay (Yes-TiltHour) increases their stamina by B - 17 / 18.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their chakra by Full - 71 / 71.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of S - 1 / 71
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their chakra by Full - 200 / 200.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their stamina by Full - 200 / 200.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of S - 130 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of S - 60 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their chakra by Full - 200 / 200.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of A - 166 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of A - 132 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of A - 98 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of A - 64 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of A - 30 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of B - 16 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of B - 2 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their stamina by S - 200 / 200.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of S - 130 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of S - 60 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of A - 26 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of B - 12 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of C - 6 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of D - 3 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of D - 0 / 200
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their chakra by Full - 200 / 200.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their stamina by Full - 200 / 200.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their stamina by Full - 300 / 300.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their chakra by Full - 300 / 300.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of S - 230 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of S - 160 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of S - 90 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of S - 20 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of B - 6 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of S - 230 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of S - 160 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of S - 90 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of S - 20 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their stamina by a cost of B - 6 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their chakra by Full - 300 / 300.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of A - 266 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of B - 252 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of B - 238 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of A - 204 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of B - 190 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of C - 184 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of C - 178 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of C - 172 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of C - 166 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of B - 152 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of A - 118 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of S - 48 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of A - 14 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) just reduced their chakra by a cost of B - 0 / 300
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their chakra by Full - 300 / 300.
<br><font color=red>*Hozuki, Bitch (Cunt-TiltHour) increases their stamina by Full - 300 / 300.
